WGS84 UTM 10N
-211.78710168751422 -30.737459648400545 528.3091
45.375364087638445 56.470106021501124 645.7624
139.10221972118597 -151.48668201640248 524.9819
29.351303708157502 108.99019461497664 645.6306
151.60503978759516 379.6284706136212 643.7714
-194.28007237892598 212.42580788210034 645.216
131.87864588969387 16.620979129336774 528.6666
76.70300870097708 -24.93433167319745 526.8402
19.213061792892404 -239.57566975150257 528.6898
-116.25139859225601 -70.93535317666829 525.9459
41.56983886437956 15.016896723769605 528.4426
-254.0108494142769 93.49167194403708 531.404
205.60768970265053 -236.064871057868 527.5806
-83.40257086150814 214.31213376671076 645.4365
-212.1983111554291 10.966612289659679 528.5237
108.92029060132336 58.57345447130501 530.044
-223.2841880954802 136.29799360223114 530.4563
-144.86498531280085 95.25528058223426 530.5551
-230.28986655105837 10.622120429761708 528.5155
-181.2752142198151 94.59854476619512 530.8876
-121.56568318326026 320.2879086052999 644.443
187.1111831314629 -236.40297602768987 527.6221
-32.658349628094584 375.9072605520487 642.7238
-29.82526077865623 -154.82410600967705 525.2353
-46.79915087111294 54.66124595142901 645.7992
-231.11623828229494 212.08570619951934 645.3481
-11.459274320863187 162.51379192247987 645.983
-108.90586438169703 54.14578495081514 531.0529
-67.21296815935057 -155.5354980127886 525.3848
-26.419046990573406 -69.2520898161456 525.4671
